rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582850372045920573,,1,,1582850372,44791936,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372050812371,,2,,1582850372,49793004,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850372054893247,,3,,1582850372,53767919,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850372056709335,,4,,1582850372,55733919,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850372058674062,,5,,1582850372,57754993,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850372062635255,,6,,1582850372,61727046,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1582850372064789872,,7,,1582850372,63767910,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1582850372066480572,,8,,1582850372,65721035,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1582850372072668876,,9,,1582850372,71759939,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1582850372074638816,,10,,1582850372,73764085,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1582850372076554598,,11,,1582850372,75752973,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1582850372080560454,,12,,1582850372,79730033,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1582850372082594124,,13,,1582850372,81756114,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1582850372088647048,,14,,1582850372,87825059,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1582850372090573520,,15,,1582850372,89751005,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1582850372092476546,,16,,1582850372,91728925,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1582850372096482279,,17,,1582850372,95731019,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1582850372098535832,,18,,1582850372,97749948,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1582850372100650431,,19,,1582850372,99744081,"""Soft Puff""",[-0.1535450518131256],"[0, 1, 0, 0]"
1582850372102505238,,20,,1582850372,101738929,"""Soft Puff""",[-0.16440321505069733],"[0, 1, 0, 0]"
1582850372106667988,,21,,1582850372,105739116,"""Soft Puff""",[-0.17526137828826904],"[0, 1, 0, 0]"
1582850372108585351,,22,,1582850372,107744932,"""Soft Puff""",[-0.18608741462230682],"[0, 1, 0, 0]"
1582850372110522977,,23,,1582850372,109724044,"""Soft Puff""",[-0.19694557785987854],"[0, 1, 0, 0]"
1582850372116524756,,24,,1582850372,115731954,"""Soft Puff""",[-0.20780374109745026],"[0, 1, 0, 0]"
1582850372118390208,,25,,1582850372,117705106,"""Soft Puff""",[-0.21866190433502197],"[0, 1, 0, 0]"
1582850372122511889,,26,,1582850372,121723890,"""Soft Puff""",[-0.2295200675725937],"[0, 1, 0, 0]"
1582850372124535097,,27,,1582850372,123719930,"""Soft Puff""",[-0.24034611880779266],"[0, 1, 0, 0]"
1582850372128549164,,28,,1582850372,127713918,"""Soft Puff""",[-0.2512042820453644],"[0, 1, 0, 0]"
1582850372132589199,,29,,1582850372,131732940,"""Soft Puff""",[-0.2620624303817749],"[0, 1, 0, 0]"
1582850372134512483,,30,,1582850372,133711099,"""Soft Puff""",[-0.2729206085205078],"[0, 1, 0, 0]"
1582850372136461531,,31,,1582850372,135700941,"""Soft Puff""",[-0.28377875685691833],"[0, 1, 0, 0]"
1582850372142677004,,32,,1582850372,141757965,"""Soft Puff""",[-0.29463693499565125],"[0, 1, 0, 0]"
1582850372144632108,,33,,1582850372,143733978,"""Soft-Hard Puff Deadband""",[-0.3054629862308502],"[0, 0, 0, 0]"
1582850372148582750,,34,,1582850372,147727012,"""Soft-Hard Puff Deadband""",[-0.31632113456726074],"[0, 0, 0, 0]"
1582850372150591396,,35,,1582850372,149756908,"""Soft-Hard Puff Deadband""",[-0.32717931270599365],"[0, 0, 0, 0]"
1582850372154469149,,36,,1582850372,153731107,"""Soft-Hard Puff Deadband""",[-0.3380374610424042],"[0, 0, 0, 0]"
1582850372158706603,,37,,1582850372,157754898,"""Soft-Hard Puff Deadband""",[-0.3488956391811371],"[0, 0, 0, 0]"
1582850372160482458,,38,,1582850372,159737110,"""Soft-Hard Puff Deadband""",[-0.35972166061401367],"[0, 0, 0, 0]"
1582850372166498387,,39,,1582850372,165712118,"""Soft-Hard Puff Deadband""",[-0.3705798387527466],"[0, 0, 0, 0]"
1582850372168455444,,40,,1582850372,167715072,"""Soft-Hard Puff Deadband""",[-0.3814379870891571],"[0, 0, 0, 0]"
1582850372174778116,,41,,1582850372,173758983,"""Soft-Hard Puff Deadband""",[-0.39229616522789],"[0, 0, 0, 0]"
1582850372176704000,,42,,1582850372,175770998,"""Soft-Hard Puff Deadband""",[-0.4031543433666229],"[0, 0, 0, 0]"
1582850372180756484,,43,,1582850372,179729938,"""Soft-Hard Puff Deadband""",[-0.41401249170303345],"[0, 0, 0, 0]"
1582850372184795150,,44,,1582850372,183751106,"""Soft-Hard Puff Deadband""",[-0.4248385429382324],"[0, 0, 0, 0]"
1582850372188712453,,45,,1582850372,187805891,"""Soft-Hard Puff Deadband""",[-0.43569669127464294],"[0, 0, 0, 0]"
1582850372194737270,,46,,1582850372,193803071,"""Soft-Hard Puff Deadband""",[-0.44655486941337585],"[0, 0, 0, 0]"
1582850372200701873,,47,,1582850372,199763059,"""Soft-Hard Puff Deadband""",[-0.4574130177497864],"[0, 0, 0, 0]"
1582850372202665800,,48,,1582850372,201822042,"""Soft-Hard Puff Deadband""",[-0.4682711958885193],"[0, 0, 0, 0]"
1582850372207006300,,49,,1582850372,205764055,"""Soft-Hard Puff Deadband""",[-0.4790972173213959],"[0, 0, 0, 0]"
1582850372214913877,,50,,1582850372,213784933,"""Soft-Hard Puff Deadband""",[-0.4899553954601288],"[0, 0, 0, 0]"
1582850372222907513,,51,,1582850372,221756935,"""Hard Puff""",[-0.5008135437965393],"[1, 0, 0, 0]"
1582850372226839378,,52,,1582850372,225764989,"""Hard Puff""",[-0.5116717219352722],"[1, 0, 0, 0]"
1582850372230776215,,53,,1582850372,229732990,"""Hard Puff""",[-0.5225299000740051],"[1, 0, 0, 0]"
1582850372236618682,,54,,1582850372,235735893,"""Hard Puff""",[-0.5333559513092041],"[1, 0, 0, 0]"
1582850372244940740,,55,,1582850372,243820905,"""Hard Puff""",[-0.5442140698432922],"[1, 0, 0, 0]"
1582850372252591086,,56,,1582850372,251734018,"""Hard Puff""",[-0.5550722479820251],"[1, 0, 0, 0]"
1582850372256726448,,57,,1582850372,255753040,"""Hard Puff""",[-0.5659304261207581],"[1, 0, 0, 0]"
1582850372264766378,,58,,1582850372,263781070,"""Hard Puff""",[-0.576788604259491],"[1, 0, 0, 0]"
1582850372272611435,,59,,1582850372,271733999,"""Hard Puff""",[-0.5876467227935791],"[1, 0, 0, 0]"
1582850372280528651,,60,,1582850372,279738903,"""Hard Puff""",[-0.5984727740287781],"[1, 0, 0, 0]"
1582850372291016944,,61,,1582850372,289783000,"""Hard Puff""",[-0.609330952167511],"[1, 0, 0, 0]"
1582850372298641240,,62,,1582850372,297746896,"""Hard Puff""",[-0.6201891303062439],"[1, 0, 0, 0]"
1582850372316700121,,63,,1582850372,315779924,"""Hard Puff""",[-0.6310473084449768],"[1, 0, 0, 0]"
1582850372326886020,,64,,1582850372,325818061,"""Hard Puff""",[-0.6419054269790649],"[1, 0, 0, 0]"
1582850372352753490,,65,,1582850372,351772069,"""Hard Puff""",[-0.6527314782142639],"[1, 0, 0, 0]"
1582850372370809975,,66,,1582850372,369779109,"""Hard Puff""",[-0.6635896563529968],"[1, 0, 0, 0]"
1582850372394947411,,67,,1582850372,393846035,"""Hard Puff""",[-0.6744478344917297],"[1, 0, 0, 0]"
1582850372420850233,,68,,1582850372,419830083,"""Hard Puff""",[-0.6853059530258179],"[1, 0, 0, 0]"
1582850372457100678,,69,,1582850372,455837965,"""Hard Puff""",[-0.6961641311645508],"[1, 0, 0, 0]"
1582850372480973858,,70,,1582850372,479860067,"""Hard Puff""",[-0.7070223093032837],"[1, 0, 0, 0]"
1582850372499003436,,71,,1582850372,497864961,"""Hard Puff""",[-0.7178483605384827],"[1, 0, 0, 0]"
1582850372508961400,,72,,1582850372,507882118,"""Hard Puff""",[-0.7287065386772156],"[1, 0, 0, 0]"
1582850372522769901,,73,,1582850372,521807909,"""Hard Puff""",[-0.7395646572113037],"[1, 0, 0, 0]"
1582850372532913846,,74,,1582850372,531771898,"""Hard Puff""",[-0.7504228353500366],"[1, 0, 0, 0]"
1582850372540866146,,75,,1582850372,539776086,"""Hard Puff""",[-0.7612810134887695],"[1, 0, 0, 0]"
1582850372546844685,,76,,1582850372,545757055,"""Hard Puff""",[-0.7721070647239685],"[1, 0, 0, 0]"
1582850372556759084,,77,,1582850372,555804014,"""Hard Puff""",[-0.7829651832580566],"[1, 0, 0, 0]"
1582850372568811397,,78,,1582850372,567794084,"""Hard Puff""",[-0.7938233613967896],"[1, 0, 0, 0]"
1582850372576643164,,79,,1582850372,575789928,"""Hard Puff""",[-0.8046815395355225],"[1, 0, 0, 0]"
1582850372584720990,,80,,1582850372,583791017,"""Hard Puff""",[-0.8155397176742554],"[1, 0, 0, 0]"
1582850372592850484,,81,,1582850372,591845989,"""Hard Puff""",[-0.8263657689094543],"[1, 0, 0, 0]"
1582850372598689605,,82,,1582850372,597739934,"""Hard Puff""",[-0.8372238874435425],"[1, 0, 0, 0]"
1582850372606845657,,83,,1582850372,605793952,"""Hard Puff""",[-0.8480820655822754],"[1, 0, 0, 0]"
1582850372610833357,,84,,1582850372,609774112,"""Hard Puff""",[-0.8589402437210083],"[1, 0, 0, 0]"
1582850372620611222,,85,,1582850372,619767904,"""Hard Puff""",[-0.8697984218597412],"[1, 0, 0, 0]"
1582850372626752561,,86,,1582850372,625812053,"""Hard Puff""",[-0.8806565403938293],"[1, 0, 0, 0]"
1582850372628498526,,87,,1582850372,627765893,"""Hard Puff""",[-0.8914825916290283],"[1, 0, 0, 0]"
1582850372636712753,,88,,1582850372,635821104,"""Hard Puff""",[-0.9023407697677612],"[1, 0, 0, 0]"
1582850372642833788,,89,,1582850372,641810894,"""Hard Puff""",[-0.9131989479064941],"[1, 0, 0, 0]"
1582850372646697825,,90,,1582850372,645759105,"""Hard Puff""",[-0.924057126045227],"[1, 0, 0, 0]"
1582850372654599703,,91,,1582850372,653773069,"""Hard Puff""",[-0.9349152445793152],"[1, 0, 0, 0]"
1582850372660778262,,92,,1582850372,659822940,"""Hard Puff""",[-0.9457412958145142],"[1, 0, 0, 0]"
1582850372664618199,,93,,1582850372,663753032,"""Hard Puff""",[-0.9565994739532471],"[1, 0, 0, 0]"
1582850372670639251,,94,,1582850372,669771909,"""Hard Puff""",[-0.96745765209198],"[1, 0, 0, 0]"
1582850372676740375,,95,,1582850372,675812005,"""Hard Puff""",[-0.9783157706260681],"[1, 0, 0, 0]"
1582850372680664558,,96,,1582850372,679780960,"""Hard Puff""",[-0.989173948764801],"[1, 0, 0, 0]"
1582850372688631379,,97,,1582850372,687752008,"""Hard Puff""",[-1.0],"[1, 0, 0, 0]"
1582850374034938060,,98,,1582850374,33821105,"""Hard Puff""",[-0.989173948764801],"[1, 0, 0, 0]"
1582850374036548748,,99,,1582850374,35748004,"""Hard Puff""",[-0.9565994739532471],"[1, 0, 0, 0]"
1582850374038497311,,100,,1582850374,37760972,"""Hard Puff""",[-0.924057126045227],"[1, 0, 0, 0]"
1582850374042839394,,101,,1582850374,41812896,"""Hard Puff""",[-0.8914825916290283],"[1, 0, 0, 0]"
1582850374044536256,,102,,1582850374,43756961,"""Hard Puff""",[-0.8480820655822754],"[1, 0, 0, 0]"
1582850374046488907,,103,,1582850374,45737981,"""Hard Puff""",[-0.8263657689094543],"[1, 0, 0, 0]"
1582850374050446543,,104,,1582850374,49732923,"""Hard Puff""",[-0.7938233613967896],"[1, 0, 0, 0]"
1582850374052771591,,105,,1582850374,51721096,"""Hard Puff""",[-0.7504228353500366],"[1, 0, 0, 0]"
1582850374054448855,,106,,1582850374,53719997,"""Hard Puff""",[-0.7178483605384827],"[1, 0, 0, 0]"
1582850374058786189,,107,,1582850374,57718992,"""Hard Puff""",[-0.6853059530258179],"[1, 0, 0, 0]"
1582850374060659331,,108,,1582850374,59751987,"""Hard Puff""",[-0.6527314782142639],"[1, 0, 0, 0]"
1582850374062552252,,109,,1582850374,61737060,"""Hard Puff""",[-0.6201891303062439],"[1, 0, 0, 0]"
1582850374064558124,,110,,1582850374,63724994,"""Hard Puff""",[-0.5876467227935791],"[1, 0, 0, 0]"
1582850374068603190,,111,,1582850374,67744970,"""Hard Puff""",[-0.5550722479820251],"[1, 0, 0, 0]"
1582850374070521443,,112,,1582850374,69727897,"""Hard Puff""",[-0.5225299000740051],"[1, 0, 0, 0]"
1582850374072393258,,113,,1582850374,71706056,"""Hard Puff""",[-0.5008135437965393],"[1, 0, 0, 0]"
1582850374076811420,,114,,1582850374,75843095,"""Soft-Hard Puff Deadband""",[-0.4682711958885193],"[0, 0, 0, 0]"
1582850374078624079,,115,,1582850374,77786922,"""Soft-Hard Puff Deadband""",[-0.43569669127464294],"[0, 0, 0, 0]"
1582850374080391260,,116,,1582850374,79699039,"""Soft-Hard Puff Deadband""",[-0.41401249170303345],"[0, 0, 0, 0]"
1582850374084503674,,117,,1582850374,83740949,"""Soft-Hard Puff Deadband""",[-0.3814379870891571],"[0, 0, 0, 0]"
1582850374086509402,,118,,1582850374,85747957,"""Soft-Hard Puff Deadband""",[-0.35972166061401367],"[0, 0, 0, 0]"
1582850374088444517,,119,,1582850374,87735891,"""Soft-Hard Puff Deadband""",[-0.32717931270599365],"[0, 0, 0, 0]"
1582850374090445907,,120,,1582850374,89708089,"""Soft-Hard Puff Deadband""",[-0.3054629862308502],"[0, 0, 0, 0]"
1582850374094757011,,121,,1582850374,93825101,"""Soft Puff""",[-0.28377875685691833],"[0, 1, 0, 0]"
1582850374096518042,,122,,1582850374,95727920,"""Soft Puff""",[-0.2620624303817749],"[0, 1, 0, 0]"
1582850374098537990,,123,,1582850374,97727060,"""Soft Puff""",[-0.24034611880779266],"[0, 1, 0, 0]"
1582850374102520083,,124,,1582850374,101717948,"""Soft Puff""",[-0.21866190433502197],"[0, 1, 0, 0]"
1582850374104521457,,125,,1582850374,103733062,"""Soft Puff""",[-0.19694557785987854],"[0, 1, 0, 0]"
1582850374106512780,,126,,1582850374,105726003,"""Soft Puff""",[-0.18608741462230682],"[0, 1, 0, 0]"
1582850374110839644,,127,,1582850374,109864950,"""Soft Puff""",[-0.1535450518131256],"[0, 1, 0, 0]"
1582850374112517273,,128,,1582850374,111745119,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1582850374114806827,,129,,1582850374,113765001,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1582850374116839033,,130,,1582850374,115767955,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1582850374120613824,,131,,1582850374,119739055,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1582850374122575032,,132,,1582850374,121725082,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1582850374124654536,,133,,1582850374,123754978,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1582850374128809656,,134,,1582850374,127809047,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1582850374130524448,,135,,1582850374,129745960,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1582850374132520142,,136,,1582850374,131731986,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1582850374136731662,,137,,1582850374,135795116,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1582850374138515712,,138,,1582850374,137757062,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374140506705,,139,,1582850374,139741897,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374146675709,,140,,1582850374,145788908,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374148534871,,141,,1582850374,147744894,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374165915737,,143,,1582850374,164820909,"""input stopped""",[-0.0],"[0, 0, 0, 0]"
1582850374779771302,,144,,1582850374,778740882,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374784503823,,145,,1582850374,783736944,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374788530473,,146,,1582850374,787765979,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374790453743,,147,,1582850374,789722919,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374794810972,,148,,1582850374,793803930,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582850374796652849,,149,,1582850374,795761108,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1582850374798579550,,150,,1582850374,797764062,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1582850374802621781,,151,,1582850374,801768064,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1582850374804473394,,152,,1582850374,803739070,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1582850374806531192,,153,,1582850374,805731058,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1582850374810905873,,154,,1582850374,809824943,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1582850374812602521,,155,,1582850374,811777114,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1582850374814601773,,156,,1582850374,813746929,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1582850374816581557,,157,,1582850374,815732955,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1582850374820504493,,158,,1582850374,819720029,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1582850374822516864,,159,,1582850374,821753025,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1582850374824562951,,160,,1582850374,823762893,"""Soft Puff""",[-0.1535450518131256],"[0, 1, 0, 0]"
1582850374828775461,,161,,1582850374,827784061,"""Soft Puff""",[-0.16440321505069733],"[0, 1, 0, 0]"
1582850374830462206,,162,,1582850374,829761981,"""Soft Puff""",[-0.17526137828826904],"[0, 1, 0, 0]"
1582850374832360162,,163,,1582850374,831705093,"""Soft Puff""",[-0.19694557785987854],"[0, 1, 0, 0]"
1582850374836459891,,164,,1582850374,835751056,"""Soft Puff""",[-0.20780374109745026],"[0, 1, 0, 0]"
1582850374838447885,,165,,1582850374,837713003,"""Soft Puff""",[-0.21866190433502197],"[0, 1, 0, 0]"
1582850374840499873,,166,,1582850374,839754104,"""Soft Puff""",[-0.2295200675725937],"[0, 1, 0, 0]"
1582850374842607260,,167,,1582850374,841772079,"""Soft Puff""",[-0.24034611880779266],"[0, 1, 0, 0]"
1582850374846653884,,168,,1582850374,845757961,"""Soft Puff""",[-0.2620624303817749],"[0, 1, 0, 0]"
1582850374848484330,,169,,1582850374,847763061,"""Soft Puff""",[-0.2729206085205078],"[0, 1, 0, 0]"
1582850374850472509,,170,,1582850374,849730968,"""Soft Puff""",[-0.28377875685691833],"[0, 1, 0, 0]"
1582850374854438724,,171,,1582850374,853714942,"""Soft Puff""",[-0.29463693499565125],"[0, 1, 0, 0]"
1582850374856452802,,172,,1582850374,855726957,"""Soft-Hard Puff Deadband""",[-0.31632113456726074],"[0, 0, 0, 0]"
1582850374858505231,,173,,1582850374,857721090,"""Soft-Hard Puff Deadband""",[-0.32717931270599365],"[0, 0, 0, 0]"
1582850374862632687,,174,,1582850374,861769914,"""Soft-Hard Puff Deadband""",[-0.3380374610424042],"[0, 0, 0, 0]"
1582850374864520395,,175,,1582850374,863743066,"""Soft-Hard Puff Deadband""",[-0.35972166061401367],"[0, 0, 0, 0]"
1582850374866540699,,176,,1582850374,865725040,"""Soft-Hard Puff Deadband""",[-0.3705798387527466],"[0, 0, 0, 0]"
1582850374868564358,,177,,1582850374,867726087,"""Soft-Hard Puff Deadband""",[-0.3814379870891571],"[0, 0, 0, 0]"
1582850374872433605,,178,,1582850374,871727943,"""Soft-Hard Puff Deadband""",[-0.39229616522789],"[0, 0, 0, 0]"
1582850374874515559,,179,,1582850374,873749971,"""Soft-Hard Puff Deadband""",[-0.4031543433666229],"[0, 0, 0, 0]"
1582850374876565422,,180,,1582850374,875766038,"""Soft-Hard Puff Deadband""",[-0.41401249170303345],"[0, 0, 0, 0]"
1582850374880596977,,181,,1582850374,879795074,"""Soft-Hard Puff Deadband""",[-0.4248385429382324],"[0, 0, 0, 0]"
1582850374882538719,,182,,1582850374,881753921,"""Soft-Hard Puff Deadband""",[-0.43569669127464294],"[0, 0, 0, 0]"
1582850374884479097,,183,,1582850374,883743047,"""Soft-Hard Puff Deadband""",[-0.44655486941337585],"[0, 0, 0, 0]"
1582850374888601572,,184,,1582850374,887778997,"""Soft-Hard Puff Deadband""",[-0.4574130177497864],"[0, 0, 0, 0]"
1582850374890566445,,185,,1582850374,889754056,"""Soft-Hard Puff Deadband""",[-0.4790972173213959],"[0, 0, 0, 0]"
1582850374892753101,,186,,1582850374,891717910,"""Soft-Hard Puff Deadband""",[-0.4899553954601288],"[0, 0, 0, 0]"
1582850374894583527,,187,,1582850374,893747091,"""Hard Puff""",[-0.5008135437965393],"[1, 0, 0, 0]"
1582850374898670440,,188,,1582850374,897766113,"""Hard Puff""",[-0.5116717219352722],"[1, 0, 0, 0]"
1582850374902640425,,189,,1582850374,901750087,"""Hard Puff""",[-0.5225299000740051],"[1, 0, 0, 0]"
1582850374906627795,,190,,1582850374,905747890,"""Hard Puff""",[-0.5442140698432922],"[1, 0, 0, 0]"
1582850374910681625,,191,,1582850374,909794092,"""Hard Puff""",[-0.5550722479820251],"[1, 0, 0, 0]"
1582850374914593993,,192,,1582850374,913765907,"""Hard Puff""",[-0.5659304261207581],"[1, 0, 0, 0]"
1582850374916495822,,193,,1582850374,915735006,"""Hard Puff""",[-0.576788604259491],"[1, 0, 0, 0]"
1582850374918568903,,194,,1582850374,917746067,"""Hard Puff""",[-0.5876467227935791],"[1, 0, 0, 0]"
1582850374920435258,,195,,1582850374,919722080,"""Hard Puff""",[-0.5984727740287781],"[1, 0, 0, 0]"
1582850374927034170,,196,,1582850374,925796985,"""Hard Puff""",[-0.609330952167511],"[1, 0, 0, 0]"
1582850374928679977,,197,,1582850374,927783012,"""Hard Puff""",[-0.6201891303062439],"[1, 0, 0, 0]"
1582850374932528580,,198,,1582850374,931726932,"""Hard Puff""",[-0.6310473084449768],"[1, 0, 0, 0]"
1582850374934470893,,199,,1582850374,933732032,"""Hard Puff""",[-0.6419054269790649],"[1, 0, 0, 0]"
1582850374936732281,,200,,1582850374,935729980,"""Hard Puff""",[-0.6527314782142639],"[1, 0, 0, 0]"
1582850374943105333,,201,,1582850374,941859006,"""Hard Puff""",[-0.6635896563529968],"[1, 0, 0, 0]"
1582850374945060770,,202,,1582850374,943809032,"""Hard Puff""",[-0.6744478344917297],"[1, 0, 0, 0]"
1582850374947078749,,203,,1582850374,945861101,"""Hard Puff""",[-0.6853059530258179],"[1, 0, 0, 0]"
1582850374953005243,,204,,1582850374,951782941,"""Hard Puff""",[-0.7070223093032837],"[1, 0, 0, 0]"
1582850374960090276,,205,,1582850374,958024024,"""Hard Puff""",[-0.7178483605384827],"[1, 0, 0, 0]"
1582850374962058452,,206,,1582850374,960237026,"""Hard Puff""",[-0.7287065386772156],"[1, 0, 0, 0]"
1582850374967768256,,207,,1582850374,965944051,"""Hard Puff""",[-0.7395646572113037],"[1, 0, 0, 0]"
1582850374969884973,,208,,1582850374,967927932,"""Hard Puff""",[-0.7504228353500366],"[1, 0, 0, 0]"
1582850374973648200,,209,,1582850374,971832990,"""Hard Puff""",[-0.7612810134887695],"[1, 0, 0, 0]"
1582850374977783125,,210,,1582850374,975903034,"""Hard Puff""",[-0.7721070647239685],"[1, 0, 0, 0]"
1582850374981692463,,211,,1582850374,979856967,"""Hard Puff""",[-0.7829651832580566],"[1, 0, 0, 0]"
1582850374987695325,,212,,1582850374,985893964,"""Hard Puff""",[-0.7938233613967896],"[1, 0, 0, 0]"
1582850374989681988,,213,,1582850374,987858057,"""Hard Puff""",[-0.8046815395355225],"[1, 0, 0, 0]"
1582850374995869835,,214,,1582850374,993882894,"""Hard Puff""",[-0.8155397176742554],"[1, 0, 0, 0]"
1582850375000014144,,215,,1582850374,997855901,"""Hard Puff""",[-0.8263657689094543],"[1, 0, 0, 0]"
1582850375006233831,,216,,1582850375,3896951,"""Hard Puff""",[-0.8372238874435425],"[1, 0, 0, 0]"
1582850375012201268,,217,,1582850375,10011911,"""Hard Puff""",[-0.8480820655822754],"[1, 0, 0, 0]"
1582850375015705453,,218,,1582850375,13906002,"""Hard Puff""",[-0.8589402437210083],"[1, 0, 0, 0]"
1582850375021651127,,219,,1582850375,19855022,"""Hard Puff""",[-0.8697984218597412],"[1, 0, 0, 0]"
1582850375028109767,,220,,1582850375,25949001,"""Hard Puff""",[-0.8806565403938293],"[1, 0, 0, 0]"
1582850375030712067,,221,,1582850375,28214931,"""Hard Puff""",[-0.8914825916290283],"[1, 0, 0, 0]"
1582850375037782510,,222,,1582850375,35936117,"""Hard Puff""",[-0.9023407697677612],"[1, 0, 0, 0]"
1582850375041596449,,223,,1582850375,39904117,"""Hard Puff""",[-0.9131989479064941],"[1, 0, 0, 0]"
1582850375050095410,,224,,1582850375,47884941,"""Hard Puff""",[-0.924057126045227],"[1, 0, 0, 0]"
1582850375058290161,,225,,1582850375,55944919,"""Hard Puff""",[-0.9349152445793152],"[1, 0, 0, 0]"
1582850375066413035,,226,,1582850375,63992023,"""Hard Puff""",[-0.9457412958145142],"[1, 0, 0, 0]"
1582850375074919221,,227,,1582850375,71969985,"""Hard Puff""",[-0.9565994739532471],"[1, 0, 0, 0]"
1582850375080820108,,228,,1582850375,78063964,"""Hard Puff""",[-0.96745765209198],"[1, 0, 0, 0]"
1582850375086141669,,229,,1582850375,83972930,"""Hard Puff""",[-0.9783157706260681],"[1, 0, 0, 0]"
1582850375091808481,,230,,1582850375,89905977,"""Hard Puff""",[-0.989173948764801],"[1, 0, 0, 0]"
1582850375100498643,,231,,1582850375,97980022,"""Hard Puff""",[-1.0],"[1, 0, 0, 0]"
1582850375570667331,,232,,1582850375,568221092,"""Hard Puff""",[-0.989173948764801],"[1, 0, 0, 0]"
1582850375578037949,,233,,1582850375,575951099,"""Hard Puff""",[-0.9783157706260681],"[1, 0, 0, 0]"
1582850375586380087,,234,,1582850375,584017038,"""Hard Puff""",[-0.96745765209198],"[1, 0, 0, 0]"
1582850375592411359,,235,,1582850375,590076923,"""Hard Puff""",[-0.9565994739532471],"[1, 0, 0, 0]"
1582850375595810751,,236,,1582850375,593966007,"""Hard Puff""",[-0.9457412958145142],"[1, 0, 0, 0]"
1582850375599688675,,237,,1582850375,597899913,"""Hard Puff""",[-0.9349152445793152],"[1, 0, 0, 0]"
1582850375603703788,,238,,1582850375,601869106,"""Hard Puff""",[-0.924057126045227],"[1, 0, 0, 0]"
1582850375610778893,,239,,1582850375,608035087,"""Hard Puff""",[-0.9131989479064941],"[1, 0, 0, 0]"
1582850375612791990,,240,,1582850375,610752105,"""Hard Puff""",[-0.9023407697677612],"[1, 0, 0, 0]"
1582850375615820478,,241,,1582850375,613920927,"""Hard Puff""",[-0.8914825916290283],"[1, 0, 0, 0]"
1582850375619885173,,242,,1582850375,617937088,"""Hard Puff""",[-0.8697984218597412],"[1, 0, 0, 0]"
